Kód;Název ORP;Kód Kraje (VÚSC);Název Kraje (VÚSC);Kód Okresu;Název Okresu
1261;Žamberk;94;Pardubický kraj;3611;Ústí nad Orlicí
485;Domažlice;43;Plzeňský kraj;3401;Domažlice
493;Horšovský Týn;43;Plzeňský kraj;3401;Domažlice
558;Horažďovice;43;Plzeňský kraj;3404;Klatovy
566;Klatovy;43;Plzeňský kraj;3404;Klatovy
574;Sušice;43;Plzeňský kraj;3404;Klatovy
591;Blovice;43;Plzeňský kraj;3406;Plzeň-jih
604;Nepomuk;43;Plzeňský kraj;3406;Plzeň-jih
612;Přeštice;43;Plzeňský kraj;3406;Plzeň-jih
621;Stod;43;Plzeňský kraj;3406;Plzeň-jih
582;Plzeň;43;Plzeňský kraj;3405;Plzeň-město
639;Kralovice;43;Plzeňský kraj;3407;Plzeň-sever
647;Nýřany;43;Plzeňský kraj;3407;Plzeň-sever
655;Rokycany;43;Plzeňský kraj;3408;Rokycany
680;Stříbro;43;Plzeňský kraj;3410;Tachov
698;Tachov;43;Plzeňský kraj;3410;Tachov
27;Benešov;27;Středočeský kraj;3201;Benešov
35;Vlašim;27;Středočeský kraj;3201;Benešov
43;Votice;27;Středočeský kraj;3201;Benešov
51;Beroun;27;Středočeský kraj;3202;Beroun
60;Hořovice;27;Středočeský kraj;3202;Beroun
78;Kladno;27;Středočeský kraj;3203;Kladno
86;Slaný;27;Středočeský kraj;3203;Kladno
108;Český Brod;27;Středočeský kraj;3204;Kolín
94;Kolín;27;Středočeský kraj;3204;Kolín
124;Čáslav;27;Středočeský kraj;3205;Kutná Hora
116;Kutná Hora;27;Středočeský kraj;3205;Kutná Hora
132;Kralupy nad Vltavou;27;Středočeský kraj;3206;Mělník
141;Mělník;27;Středočeský kraj;3206;Mělník
159;Neratovice;27;Středočeský kraj;3206;Mělník
167;Mladá Boleslav;27;Středočeský kraj;3207;Mladá Boleslav
175;Mnichovo Hradiště;27;Středočeský kraj;3207;Mladá Boleslav
