"KRAJ","ORP","OBEC","BLOK","HLASYPROC"
"Pardubický","Chrudim","Smrček","",22.91
"Vysočina","Jihlava","Smrčná","",0.62
"Vysočina","Třebíč","Smrk","",9.76
"Olomoucký","Prostějov","Smržice","",3
"Královéhradecký","Hradec Králové","Smržov","",5.56
"Jihočeský","Třeboň","Smržov","",10.81
"Liberecký","Tanvald","Smržovka","",9.63
"Ústecký","Litoměřice","Snědovice","",8.03
"Středočeský","Vlašim","Snět","",3.33
"Vysočina","Nové Město na Moravě","Sněžné","",2.82
"Jihomoravský","Bučovice","Snovídky","",4.6
"Královéhradecký","Hořice","Sobčice","",7.58
"Středočeský","Benešov","Soběhrdy","",1.66
"Olomoucký","Lipník nad Bečvou","Soběchleby","",9.32
"Plzeňský","Přeštice","Soběkury","",5.52
"Jihočeský","Kaplice","Soběnov","",5.6
"Královéhradecký","Jičín","Soběraz","",7.5
"Jihočeský","Soběslav","Soběslav","",4.97
"Liberecký","Turnov","Soběslavice","",15.16
"Zlínský","Kroměříž","Soběsuky","",4.34
"Plzeňský","Sušice","Soběšice","",1.16
"Moravskoslezský","Frýdek-Místek","Soběšovice","",3.71
"Pardubický","Chrudim","Sobětuchy","",22.48
"Vysočina","Chotěboř","Sobíňov","",4.98
"Olomoucký","Přerov","Sobíšky","",3.44
"Pardubický","Žamberk","Sobkovice","",30.56
"Olomoucký","Šumperk","Sobotín","",8.37
"Královéhradecký","Jičín","Sobotka","",3.13
"Jihomoravský","Židlochovice","Sobotovice","",20.81
"Jihomoravský","Kyjov","Sobůlky","",6.5
"Středočeský","Mladá Boleslav","Sojovice","",31.45
"Středočeský","Poděbrady","Sokoleč","",3.5
"Jihomoravský","Šlapanice","Sokolnice","",8.66
"Karlovarský","Sokolov","Sokolov","",17.39
"Středočeský","Příbram","Solenice","",8
"Královéhradecký","Rychnov nad Kněžnou","Solnice","",3.39
"Pardubický","Ústí nad Orlicí","Sopotnice","",7.43
"Pardubický","Přelouč","Sopřeč","",6.59
"Liberecký","Česká Lípa","Sosnová","",5.55
"Moravskoslezský","Opava","Sosnová","",1.42
"Středočeský","Čáslav","Souňov","",8.69
"Jihočeský","Strakonice","Sousedovice","",10.77
"Královéhradecký","Hradec Králové","Sovětice","",1.3
"Středočeský","Mladá Boleslav","Sovínky","",8.98
"Pardubický","Přelouč","Sovolusky","",6.25
"Plzeňský","Blovice","Spálené Poříčí","",1.92
"Moravskoslezský","Odry","Spálov","",5.83
"Vysočina","Nové Město na Moravě","Spělkov","",13.33
"Jihomoravský","Blansko","Spešov","",8.67
"Pardubický","Pardubice","Spojil","",15.31
"Středočeský","Mělník","Spomyšl","",4.76
"Ústecký","Chomutov","Spořice","",40.95
"Zlínský","Otrokovice","Spytihněv","",9.2
"Olomoucký","Prostějov","Srbce","",4.35
"Středočeský","Rakovník","Srbeč","",10.46
"Plzeňský","Domažlice","Srbice","",7.44
"Ústecký","Teplice","Srbice","",11.59
"Ústecký","Děčín","Srbská Kamenice","",12.37
"Středočeský","Beroun","Srbsko","",6.71
"Plzeňský","Horšovský Týn","Srby","",2.67
"Plzeňský","Nepomuk","Srby","",11.76
"Pardubický","Pardubice","Srch","",9.57
"Jihočeský","Český Krumlov","Srnín","",7
"Pardubický","Pardubice","Srnojedy","",9.45
"Jihočeský","České Budějovice","Srubec","",3.11
"Pardubický","Vysoké Mýto","Sruby","",13.02
"Jihočeský","Tábor","Stádlec","",8.01
"Jihočeský","Vimperk","Stachy","",7.84
"Jihomoravský","Znojmo","Stálky","",8.34
"Plzeňský","Horšovský Týn","Staňkov","",3.98
"Středočeský","Kutná Hora","Staňkovice","",6.16
"Ústecký","Litoměřice","Staňkovice","",14.29
"Ústecký","Žatec","Staňkovice","",15.07
"Královéhradecký","Dvůr Králové nad Labem","Stanovice","",6.67
"Karlovarský","Karlovy Vary","Stanovice","",14.58
"Jihomoravský","Rosice","Stanoviště","",9.48
"Moravskoslezský","Ostrava","Stará Bělá","",2.76
"Olomoucký","Jeseník","Stará Červená Voda","",1.79
"Středočeský","Dobříš","Stará Huť","",6.18
"Středočeský","Lysá nad Labem","Stará Lysá","",13.87
"Královéhradecký","Nová Paka","Stará Paka","",3.87
"Vysočina","Telč","Stará Říše","",4
"Olomoucký","Přerov","Stará Ves","",4.1
"Moravskoslezský","Rýmařov","Stará Ves","",0.7
"Moravskoslezský","Ostrava","Stará Ves nad Ondřejnicí","",5.15
"Královéhradecký","Hradec Králové","Stará Voda","",1.89
"Karlovarský","Mariánské Lázně","Stará Voda","",27.34
"Vysočina","Humpolec","Staré Bříště","",13.89
"Královéhradecký","Trutnov","Staré Buky","",1.57
"Moravskoslezský","Frýdlant nad Ostravicí","Staré Hamry","",1.36
"Moravskoslezský","Bruntál","Staré Heřminovy","",2.5
"Jihočeský","Dačice","Staré Hobzí","",4.34
"Jihočeský","České Budějovice","Staré Hodějovice","",5.35
"Pardubický","Pardubice","Staré Hradiště","",13.1
"Královéhradecký","Jičín","Staré Hrady","",2.9
"Zlínský","Uherské Hradiště","Staré Hutě","",14.81
"Pardubický","Pardubice","Staré Jesenčany","",11.99
"Ústecký","Rumburk","Staré Křečany","",17.77
"Moravskoslezský","Bruntál","Staré Město","",3.5
"Moravskoslezský","Frýdek-Místek","Staré Město","",5
"Pardubický","Moravská Třebová","Staré Město","",10.33
"Olomoucký","Šumperk","Staré Město","",12.32
"Zlínský","Uherské Hradiště","Staré Město","",7.46
"Jihočeský","Jindřichův Hradec","Staré Město pod Landštejnem","",4.24
"Královéhradecký","Jičín","Staré Místo","",4.81
"Plzeňský","Tachov","Staré Sedliště","",5.86
"Karlovarský","Sokolov","Staré Sedlo","",17.14
"Plzeňský","Tachov","Staré Sedlo","",3.95
"Královéhradecký","Hořice","Staré Smrkovice","",4.35
"Pardubický","Pardubice","Staré Ždánice","",6.35
"Středočeský","Čáslav","Starkoč","",5.08
"Královéhradecký","Náchod","Stárkov","",1.41
"Středočeský","Příbram","Starosedlský Hrádek","",12.5
"Jihomoravský","Hustopeče","Starovice","",9.63
"Jihomoravský","Hustopeče","Starovičky","",9.55
"Královéhradecký","Nový Bydžov","Starý Bydžov","",1.96
"Zlínský","Uherský Brod","Starý Hrozenkov","",3.52
"Moravskoslezský","Nový Jičín","Starý Jičín","",2.9
"Středočeský","Kolín","Starý Kolín","",5.98
"Pardubický","Pardubice","Starý Mateřov","",12.39
"Jihomoravský","Znojmo","Starý Petřín","",6.56
"Plzeňský","Plzeň","Starý Plzenec","",3.86
"Jihomoravský","Hodonín","Starý Poddvorov","",3.83
"Ústecký","Děčín","Starý Šachov","",11.32
"Středočeský","Lysá nad Labem","Starý Vestec","",11.48
"Vysočina","Třebíč","Stařeč","",3.88
"Olomoucký","Prostějov","Stařechovice","",8.57
"Moravskoslezský","Frýdek-Místek","Staříč","",6.25
"Středočeský","Beroun","Stašov","",11.32
"Pardubický","Polička","Stašov","",14.09
"Středočeský","Černošice","Statenice","",4.34
"Olomoucký","Mohelnice","Stavenice","",9.09
"Jihomoravský","Kyjov","Stavěšice","",3.73
"Pardubický","Pardubice","Stéblová","",9.41
"Ústecký","Ústí nad Labem","Stebno","",10.07
"Moravskoslezský","Opava","Stěbořice","",2.18
"Středočeský","Kladno","Stehelčeves","",7.5
"Jihočeský","Milevsko","Stehlovice","",15.62
"Královéhradecký","Hradec Králové","Stěžery","",5.07
"Olomoucký","Prostějov","Stínava","",4.26
"Plzeňský","Stod","Stod","",2.53
"Středočeský","Kladno","Stochov","",9.6
"Vysočina","Pelhřimov","Stojčín","",12.91
"Pardubický","Přelouč","Stojice","",6.12
"Pardubický","Chrudim","Stolany","",25
"Vysočina","Jihlava","Stonařov","",2.18
"Moravskoslezský","Karviná","Stonava","",2
"Jihomoravský","Znojmo","Stošíkovice na Louce","",11.25
"Jihočeský","Prachatice","Stožec","",13.42
"Jihočeský","Vodňany","Stožice","",4.13
"Královéhradecký","Hradec Králové","Stračov","",0.97
"Pardubický","Vysoké Mýto","Stradouň","",10.52
"Moravskoslezský","Kravaře","Strahovice","",2.8
"Vysočina","Telč","Strachoňovice","",3.57
"Jihomoravský","Znojmo","Strachotice","",5.37
"Jihomoravský","Hustopeče","Strachotín","",6.67
"Vysočina","Bystřice nad Pernštejnem","Strachujov","",9.25
"Jihočeský","Strakonice","Strakonice","",9.32
"Pardubický","Litomyšl","Strakov","",20.26
"Středočeský","Nymburk","Straky","",8.61
"Středočeský","Říčany","Strančice","",4.97
"Vysočina","Velké Meziříčí","Stránecká Zhoř","",5.07
"Zlínský","Uherský Brod","Strání","",5.57
"Středočeský","Mělník","Stránka","",8.61
"Středočeský","Benešov","Stranný","",6.81
"Plzeňský","Rokycany","Strašice","",6.84
"Jihočeský","Strakonice","Strašice","",8.2
"Plzeňský","Sušice","Strašín","",11.76
"Ústecký","Roudnice nad Labem","Straškov-Vodochody","",16.02
"Středočeský","Mladá Boleslav","Strašnov","",2.3
"Pardubický","Přelouč","Strašov","",27.36
"Středočeský","Lysá nad Labem","Stratov","",3.89
"Plzeňský","Domažlice","Stráž","",1.11
"Plzeňský","Tachov","Stráž","",4.79
"Jihočeský","Jindřichův Hradec","Stráž nad Nežárkou","",11.02
"Liberecký","Liberec","Stráž nad Nisou","",10.99
"Karlovarský","Ostrov","Stráž nad Ohří","",26.9
"Liberecký","Česká Lípa","Stráž pod Ralskem","",5.19
"Vysočina","Bystřice nad Pernštejnem","Strážek","",13.64
"Olomoucký","Konice","Stražisko","",5.74
"Středočeský","Mnichovo Hradiště","Strážiště","",4.92
"Jihočeský","České Budějovice","Strážkovice","",6.59
"Pardubický","Lanškroun","Strážná","",6.06
"Královéhradecký","Vrchlabí","Strážné","",3.03
"Jihomoravský","Veselí nad Moravou","Strážnice","",4.58
"Jihočeský","Vimperk","Strážný","",6.35
"Plzeňský","Klatovy","Strážov","",6.27
"Jihomoravský","Kyjov","Strážovice","",5.59
"Středočeský","Mladá Boleslav","Strenice","",20.94
"Jihomoravský","Tišnov","Strhaře","",13.89
"Jihočeský","Jindřichův Hradec","Strmilov","",5.84
"Středočeský","Vlašim","Strojetice","",9.76
"Vysočina","Třebíč","Stropešín","",3.23
"Středočeský","Benešov","Struhařov","",6.12
"Středočeský","Říčany","Struhařov","",5.08
"Olomoucký","Šternberk","Strukov","",7.14
"Jihočeský","Prachatice","Strunkovice nad Blanicí","",5.47
"Jihočeský","Strakonice","Strunkovice nad Volyňkou","",6.99
"Ústecký","Chomutov","Strupčice","",14.8
"Liberecký","Semily","Stružinec","",9.38
"Karlovarský","Karlovy Vary","Stružná","",17.28
"Liberecký","Česká Lípa","Stružnice","",6.7
"Jihočeský","České Budějovice","Strýčice","",4
"Středočeský","Černošice","Středokluky","",3.94
"Jihomoravský","Šlapanice","Střelice","",6.7
"Jihomoravský","Znojmo","Střelice","",8.46
"Jihočeský","Strakonice","Střelské Hoštice","",6.69
"Pardubický","Chrudim","Střemošice","",23.21
"Středočeský","Mělník","Střemy","",7.25
"Olomoucký","Litovel","Střeň","",2.08
"Královéhradecký","Jičín","Střevač","",1.59
"Královéhradecký","Hradec Králové","Střezetice","",1.46
"Středočeský","Votice","Střezimíř","",5.75
"Karlovarský","Kraslice","Stříbrná","",23.67
"Středočeský","Říčany","Stříbrná Skalice","",5.82
"Vysočina","Havlíčkův Brod","Stříbrné Hory","",6.25
"Olomoucký","Přerov","Stříbrnice","",6.9
"Zlínský","Uherské Hradiště","Stříbrnice","",10.6
"Plzeňský","Stříbro","Stříbro","",5.06
"Jihočeský","Třeboň","Stříbřec","",6.89
"Zlínský","Kroměříž","Střílky","",9.18
"Vysočina","Bystřice nad Pernštejnem","Střítež","",4.76
"Vysočina","Jihlava","Střítež","",4.86
"Jihočeský","Kaplice","Střítež","",3.25
"Vysočina","Třebíč","Střítež","",5.26
"Moravskoslezský","Třinec","Střítež","",12.04
"Zlínský","Valašské Meziříčí","Střítež nad Bečvou","",4.13
"Olomoucký","Hranice","Střítež nad Ludinou","",10.92
"Vysočina","Pelhřimov","Střítež pod Křemešníkem","",2.7
"Jihočeský","České Budějovice","Střížov","",4.65
"Plzeňský","Blovice","Střížovice","",4.84
"Jihočeský","Jindřichův Hradec","Střížovice","",9.61
"Zlínský","Kroměříž","Střížovice","",4.76
"Plzeňský","Tachov","Studánka","",4.31
"Jihočeský","Dačice","Studená","",5.6
"Pardubický","Žamberk","Studené","",13.33
"Liberecký","Jilemnice","Studenec","",4.09
"Vysočina","Náměšť nad Oslavou","Studenec","",3.16
"Středočeský","Slaný","Studeněves","",3.45
"Moravskoslezský","Bílovec","Studénka","",3.02
"Středočeský","Vlašim","Studený","",2.17
"Pardubický","Hlinsko","Studnice","",17.42
"Královéhradecký","Náchod","Studnice","",4.3
"Vysočina","Třebíč","Studnice","",5.72
"Jihomoravský","Vyškov","Studnice","",9.37
"Zlínský","Uherské Hradiště","Stupava","",5.46
"Liberecký","Česká Lípa","Stvolínky","",8.82
"Jihomoravský","Boskovice","Stvolová","",1.89
"Jihomoravský","Boskovice","Sudice","",6.42
"Moravskoslezský","Kravaře","Sudice","",2.68
"Vysočina","Náměšť nad Oslavou","Sudice","",4.27
"Pardubický","Ústí nad Orlicí","Sudislav nad Orlicí","",25
"Olomoucký","Šumperk","Sudkov","",3.18
"Středočeský","Mladá Boleslav","Sudoměř","",18.42
"Jihomoravský","Hodonín","Sudoměřice","",4.22
"Jihočeský","Tábor","Sudoměřice u Bechyně","",4.93
"Jihočeský","Tábor","Sudoměřice u Tábora","",3.37
"Středočeský","Brandýs nad Labem-Stará Boleslav","Sudovo Hlavno","",5.17
"Pardubický","Vysoké Mýto","Sudslava","",7.81
"Vysočina","Jihlava","Suchá","",13.69
"Pardubický","Litomyšl","Suchá Lhota","",6.38
"Zlínský","Uherský Brod","Suchá Loz","",4.21
"Olomoucký","Konice","Suchdol","",5.63
"Středočeský","Kutná Hora","Suchdol","",4.11
"Jihočeský","Třeboň","Suchdol nad Lužnicí","",5.86
"Moravskoslezský","Nový Jičín","Suchdol nad Odrou","",3.39
"Moravskoslezský","Opava","Suché Lazce","",2.09
"Středočeský","Příbram","Suchodol","",5.84
"Jihomoravský","Znojmo","Suchohrdly","",12.8
"Jihomoravský","Moravský Krumlov","Suchohrdly u Miroslavi","",6.11
"Středočeský","Beroun","Suchomasty","",5.15
"Jihomoravský","Veselí nad Moravou","Suchov","",4.16
"Královéhradecký","Trutnov","Suchovršice","",1
"Jihomoravský","Boskovice","Suchý","",3.94
"Královéhradecký","Náchod","Suchý Důl","",3.51
"Královéhradecký","Hořice","Sukorady","",10.45
"Středočeský","Mladá Boleslav","Sukorady","",9.52
"Ústecký","Lovosice","Sulejovice","",7.2
"Středočeský","Říčany","Sulice","",5.63
"Jihomoravský","Boskovice","Sulíkov","",11.53
"Zlínský","Kroměříž","Sulimov","",11.1
"Plzeňský","Stříbro","Sulislav","",1.22
"Olomoucký","Jeseník","Supíkovice","",1.28
"Olomoucký","Přerov","Sušice","",0.83
"Plzeňský","Sušice","Sušice","",4.06
"Zlínský","Uherské Hradiště","Sušice","",5.57
"Středočeský","Kladno","Svárov","",8.45
"Středočeský","Beroun","Svatá","",6.04
"Jihočeský","Vimperk","Svatá Maří","",4.47
"Karlovarský","Sokolov","Svatava","",11.24
"Středočeský","Dobříš","Svaté Pole","",4.43
"Jihomoravský","Kyjov","Svatobořice-Mistřín","",6.01
"Moravskoslezský","Vítkov","Svatoňovice","",4.29
"Jihomoravský","Tišnov","Svatoslav","",2.4
"Vysočina","Třebíč","Svatoslav","",6.77
"Středočeský","Sedlčany","Svatý Jan","",5.96
"Jihočeský","Trhové Sviny","Svatý Jan nad Malší","",1.77
"Středočeský","Beroun","Svatý Jan pod Skalou","",7.58
"Pardubický","Vysoké Mýto","Svatý Jiří","",5.3
"Středočeský","Kutná Hora","Svatý Mikuláš","",5.14
"Olomoucký","Zábřeh","Svébohov","",3.31
"Středočeský","Brandýs nad Labem-Stará Boleslav","Svémyslice","",4.67
"Vysočina","Pelhřimov","Svépravice","",6.67
"Plzeňský","Horažďovice","Svéradice","",3.28
"Olomoucký","Olomouc","Svésedlice","",4.92
"Jihočeský","Jindřichův Hradec","Světce","",6.39
"Ústecký","Bílina","Světec","",7.48
"Královéhradecký","Hradec Králové","Světí","",2.88
"Středočeský","Říčany","Světice","",1.99
"Jihomoravský","Boskovice","Světlá","",6.46
"Moravskoslezský","Bruntál","Světlá Hora","",1.44
"Vysočina","Světlá nad Sázavou","Světlá nad Sázavou","",2.73
"Liberecký","Liberec","Světlá pod Ještědem","",11.8
"Jihočeský","Český Krumlov","Světlík","",4.62
"Vysočina","Žďár nad Sázavou","Světnov","",7.34
"Moravskoslezský","Frýdek-Místek","Sviadnov","",5.43
"Pardubický","Chrudim","Svídnice","",6.1
"Královéhradecký","Kostelec nad Orlicí","Svídnice","",6.25
"Liberecký","Turnov","Svijanský Újezd","",6.07
"Liberecký","Turnov","Svijany","",16.05
"Středočeský","Beroun","Svinaře","",3.85
"Středočeský","Kladno","Svinařov","",4.1
"Pardubický","Přelouč","Svinčany","",18.86
"Jihomoravský","Blansko","Svinošice","",5.6
"Moravskoslezský","Ostrava","Svinov","",2.79
"Jihočeský","Soběslav","Sviny","",8
"Jihomoravský","Boskovice","Svitávka","",20.26
"Pardubický","Svitavy","Svitavy","",16.13
"Královéhradecký","Trutnov","Svoboda nad Úpou","",3.18
"Moravskoslezský","Bruntál","Svobodné Heřmanice","",2.04
"Pardubický","Polička","Svojanov","",12
"Liberecký","Jilemnice","Svojek","",3.22
"Středočeský","Říčany","Svojetice","",4.65
"Středočeský","Rakovník","Svojetín","",5.56
"Liberecký","Nový Bor","Svojkov","",2.63
"Plzeňský","Rokycany","Svojkovice","",1.32
"Vysočina","Telč","Svojkovice","",10
"Středočeský","Kolín","Svojšice","",6.66
"Pardubický","Přelouč","Svojšice","",8.64
"Středočeský","Příbram","Svojšice","",16.32
"Plzeňský","Stříbro","Svojšín","",1.18
"Liberecký","Nový Bor","Svor","",4.06
"Vysočina","Žďár nad Sázavou","Svratka","",2.46
"Pardubický","Hlinsko","Svratouch","",20.56
"Středočeský","Černošice","Svrkyně","",5.75
"Liberecký","Turnov","Sychrov","",5.88
"Středočeský","Rakovník","Sýkořice","",5.13
"Královéhradecký","Rychnov nad Kněžnou","Synkov-Slemeno","",1.76
"Vysočina","Humpolec","Syrov","",14.28
"Královéhradecký","Hradec Králové","Syrovátka","",2.58
"Jihomoravský","Židlochovice","Syrovice","",9.6
"Jihomoravský","Kyjov","Syrovín","",9.16
"Liberecký","Semily","Syřenov","",5.33
"Plzeňský","Stříbro","Sytno","",3.7
"Karlovarský","Sokolov","Šabina","",7.2
"Jihomoravský","Znojmo","Šafov","",22.85
"Jihomoravský","Hustopeče","Šakvice","",13.8
"Zlínský","Luhačovice","Šanov","",3.3
"Středočeský","Rakovník","Šanov","",7.92
"Jihomoravský","Znojmo","Šanov","",7.32
"Královéhradecký","Nový Bydžov","Šaplava","",1.92
"Jihomoravský","Slavkov u Brna","Šaratice","",7.62
"Jihomoravský","Kyjov","Šardice","",4.16
"Královéhradecký","Jičín","Šárovcova Lhota","",9.52
"Zlínský","Zlín","Šarovy","",13.75
"Jihomoravský","Znojmo","Šatov","",5.49
"Středočeský","Čáslav","Šebestěnice","",9.76
"Jihomoravský","Boskovice","Šebetov","",11.15
"Jihočeský","Tábor","Šebířov","",12.77
"Vysočina","Třebíč","Šebkovice","",5.09
"Jihomoravský","Blansko","Šebrov-Kateřina","",10.42
"Pardubický","Žamberk","Šedivec","",42.86
"Zlínský","Kroměříž","Šelešovice","",4.12
"Karlovarský","Karlovy Vary","Šemnice","",31.42
"Moravskoslezský","Ostrava","Šenov","",2.99
"Moravskoslezský","Nový Jičín","Šenov u Nového Jičína","",2.59
"Jihomoravský","Tišnov","Šerkovice","",11.58
"Středočeský","Brandýs nad Labem-Stará Boleslav","Šestajovice","",4.63
"Královéhradecký","Jaroměř","Šestajovice","",6.9
"Středočeský","Vlašim","Šetějovice","",3.03
"Jihočeský","České Budějovice","Ševětín","",6.7
"Moravskoslezský","Hlučín","Šilheřovice","",1.12
"Vysočina","Jihlava","Šimanov","",6.56
"Liberecký","Liberec","Šimonovice","",8.07
"Karlovarský","Kraslice","Šindelová","",41.89
"Středočeský","Rakovník","Šípy","",5.77
"Moravskoslezský","Bruntál","Široká Niva","",5.94
"Pardubický","Polička","Široký Důl","",21.55
"Olomoucký","Přerov","Šišma","",3.64
"Jihomoravský","Hustopeče","Šitbořice","",7.41
"Vysočina","Žďár nad Sázavou","Škrdlovice","",7.05
"Středočeský","Brandýs nad Labem-Stará Boleslav","Škvorec","",4.55
"Jihočeský","Blatná","Škvořetice","",3.16
"Jihomoravský","Šlapanice","Šlapanice","",10.53
"Vysočina","Havlíčkův Brod","Šlapanov","",7.52
"Ústecký","Rumburk","Šluknov","",4.51
"Královéhradecký","Broumov","Šonov","",1.16
"Jihomoravský","Blansko","Šošůvka","",6.15
"Olomoucký","Hranice","Špičky","",2.6
"Královéhradecký","Vrchlabí","Špindlerův Mlýn","",3.9
"Moravskoslezský","Opava","Štáblovice","",3.87
"Plzeňský","Plzeň","Šťáhlavy","",4.05
"Olomoucký","Šternberk","Štarnov","",2.01
"Karlovarský","Karlovy Vary","Štědrá","",13.12
"Jihomoravský","Boskovice","Štěchov","",1.45
"Středočeský","Černošice","Štěchovice","",5.91
"Jihočeský","Strakonice","Štěchovice","",6.66
"Jihočeský","Strakonice","Štěkeň","",7.54
"Vysočina","Třebíč","Štěměchy","",1.89
"Plzeňský","Přeštice","Štěnovice","",4.49
"Plzeňský","Plzeň","Štěnovický Borek","",4.47
"Moravskoslezský","Kravaře","Štěpánkovice","",3.36
"Olomoucký","Olomouc","Štěpánov","",10.55
"Vysočina","Bystřice nad Pernštejnem","Štěpánov nad Svratkou","",4.35
"Jihočeský","České Budějovice","Štěpánovice","",4.73
"Jihomoravský","Tišnov","Štěpánovice","",3.86
"Vysočina","Moravské Budějovice","Štěpkov","",4
"Olomoucký","Šternberk","Šternberk","",4.11
"Ústecký","Litoměřice","Štětí","",16
"Středočeský","Sedlčany","Štětkovice","",11.12
"Středočeský","Říčany","Štíhlice","",9.1
"Plzeňský","Stod","Štichov","",2.78
"Plzeňský","Kralovice","Štichovice","",3.84
"Středočeský","Kutná Hora","Štipoklasy","",4.35
"Jihomoravský","Znojmo","Štítary","",12.13
"Moravskoslezský","Opava","Štítina","",3.19
"Zlínský","Valašské Klobouky","Štítná nad Vláří-Popov","",3.44
"Plzeňský","Rokycany","Štítov","",3.45
"Olomoucký","Zábřeh","Štíty","",2.48
"Vysočina","Havlíčkův Brod","Štoky","",4.39
"Moravskoslezský","Kopřivnice","Štramberk","",3.12
"Pardubický","Svitavy","Študlov","",15.39
"Zlínský","Valašské Klobouky","Študlov","",0.82
"Olomoucký","Konice","Šubířov","",10.01
"Jihočeský","Vimperk","Šumavské Hoštice","",3.51
"Jihomoravský","Pohořelice","Šumice","",22.36
"Zlínský","Uherský Brod","Šumice","",6.49
"Jihomoravský","Znojmo","Šumná","",9.03
"Olomoucký","Šumperk","Šumperk","",3.94
"Olomoucký","Uničov","Šumvald","",4.32
"Jihomoravský","Vyškov","Švábenice","",7.86
"Vysočina","Jihlava","Švábov","",5.71
"Plzeňský","Klatovy","Švihov","",8.03
"Středočeský","Rakovník","Švihov","",6.9
"Jihočeský","Tábor","Tábor","",5.78
"Středočeský","Černošice","Tachlovice","",7.02
"Liberecký","Česká Lípa","Tachov","",13.2
"Plzeňský","Tachov","Tachov","",4.59
"Jihočeský","Písek","Tálín","",19.65
"Liberecký","Tanvald","Tanvald","",6.39
"Vysočina","Velké Meziříčí","Tasov","",9.74
"Jihomoravský","Veselí nad Moravou","Tasov","",3.74
"Jihomoravský","Boskovice","Tasovice","",7.69
"Jihomoravský","Znojmo","Tasovice","",3.94
"Ústecký","Ústí nad Labem","Tašov","",17.78
"Středočeský","Kolín","Tatce","",7.83
"Pardubický","Lanškroun","Tatenice","",16.59
"Plzeňský","Nýřany","Tatiná","",2.6
"Liberecký","Turnov","Tatobity","",4.47
"Karlovarský","Sokolov","Tatrovice","",45.76
"Jihomoravský","Moravský Krumlov","Tavíkovice","",5.34
"Zlínský","Zlín","Tečovice","",4.7
"Středočeský","Říčany","Tehov","",1.85
"Středočeský","Vlašim","Tehov","",6.73
"Středočeský","Říčany","Tehovec","",6.05
"Ústecký","Děčín","Těchlovice","",5.01
"Královéhradecký","Hradec Králové","Těchlovice","",2.78
"Vysočina","Pacov","Těchobuz","",2.63
"Pardubický","Žamberk","Těchonín","",4.63
"Vysočina","Telč","Telč","",3.57
"Pardubický","Polička","Telecí","",13.76
"Jihomoravský","Šlapanice","Telnice","",8.31
"Ústecký","Ústí nad Labem","Telnice","",13.11
"Jihočeský","Týn nad Vltavou","Temelín","",10.54
"Jihočeský","Písek","Temešvár","",7.84
"Jihomoravský","Kyjov","Těmice","",7.18
"Vysočina","Pelhřimov","Těmice","",9.61
"Plzeňský","Rokycany","Těně","",7.28
"Karlovarský","Mariánské Lázně","Teplá","",9.18
"Ústecký","Teplice","Teplice","",17.66
"Olomoucký","Hranice","Teplice nad Bečvou","",0.73
"Královéhradecký","Broumov","Teplice nad Metují","",2.45
"Karlovarský","Karlovy Vary","Teplička","",21.16
"Středočeský","Benešov","Teplýšovice","",6.74
"Jihomoravský","Hodonín","Terezín","",8.4
"Ústecký","Litoměřice","Terezín","",10.87
"Moravskoslezský","Havířov","Těrlicko","",2.47
"Jihomoravský","Židlochovice","Těšany","",3.73
"Olomoucký","Olomouc","Těšetice","",4.24
"Jihomoravský","Znojmo","Těšetice","",10.46
"Plzeňský","Rokycany","Těškov","",3.96
"Moravskoslezský","Opava","Těškovice","",4.86
"Jihočeský","Prachatice","Těšovice","",9.89
"Karlovarský","Sokolov","Těšovice","",9.52
"Jihomoravský","Rosice","Tetčice","",5.42
"Středočeský","Beroun","Tetín","",6.06
"Královéhradecký","Hořice","Tetín","",1.47
"Pardubický","Přelouč","Tetov","",16.98
"Jihočeský","Blatná","Tchořovice","",6.5
"Moravskoslezský","Frenštát pod Radhoštěm","Tichá","",4.26
"Středočeský","Vlašim","Tichonice","",9.73
"Zlínský","Valašské Klobouky","Tichov","",2.48
"Vysočina","Havlíčkův Brod","Tis","",6.02
"Plzeňský","Kralovice","Tis u Blatna","",3.85
"Ústecký","Ústí nad Labem","Tisá","",35.81
"Moravskoslezský","Bílovec","Tísek","",2.96
"Středočeský","Benešov","Tisem","",8.57
"Středočeský","Český Brod","Tismice","",3.48
"Plzeňský","Tachov","Tisová","",3.03
"Pardubický","Vysoké Mýto","Tisová","",23.24
"Pardubický","Hlinsko","Tisovec","",12.63
"Středočeský","Neratovice","Tišice","",6.02
"Jihomoravský","Tišnov","Tišnov","",6.92
"Jihomoravský","Tišnov","Tišnovská Nová Ves","",7.32
"Olomoucký","Prostějov","Tištín","",4.76
"Plzeňský","Nýřany","Tlučná","",4.16
"Plzeňský","Domažlice","Tlumačov","",9.05
"Zlínský","Otrokovice","Tlumačov","",7.04
"Středočeský","Hořovice","Tlustice","",8.89
"Středočeský","Beroun","Tmaň","",8.61
"Středočeský","Hořovice","Točník","",9.46
"Středočeský","Příbram","Tochovice","",8.35
"Plzeňský","Nepomuk","Tojice","",5.56
"Jihomoravský","Vyškov","Topolany","",8.56
"Zlínský","Uherské Hradiště","Topolná","",7.14
"Středočeský","Kolín","Toušice","",7.21
"Ústecký","Louny","Toužetín","",12.86
"Karlovarský","Karlovy Vary","Toužim","",22.99
"Olomoucký","Přerov","Tovačov","",3.51
"Olomoucký","Olomouc","Tovéř","",4.65
"Zlínský","Uherské Hradiště","Traplice","",7.67
"Ústecký","Litoměřice","Travčice","",14.35
