"KRAJ","ORP","STRANA","ZKRATKA","BLOK","HLASYABS","HLASYOBEC","HLASYPROC"
"Středočeský","Černošice","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",1247,39906,3.12
"Středočeský","Český Brod","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",206,4761,4.33
"Středočeský","Dobříš","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",249,6323,3.94
"Středočeský","Hořovice","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",615,7715,7.97
"Středočeský","Kladno","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",1660,28190,5.89
"Středočeský","Kolín","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",1336,20750,6.44
"Středočeský","Kralupy nad Vltavou","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",450,7494,6
"Středočeský","Kutná Hora","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",833,12894,6.46
"Středočeský","Lysá nad Labem","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",318,6277,5.07
"Středočeský","Mělník","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",601,10216,5.88
"Středočeský","Mladá Boleslav","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",1393,25851,5.39
"Středočeský","Mnichovo Hradiště","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",215,5026,4.28
"Středočeský","Neratovice","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",381,6893,5.53
"Středočeský","Nymburk","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",562,10727,5.24
"Středočeský","Poděbrady","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",403,8743,4.61
"Středočeský","Příbram","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",1382,18529,7.46
"Středočeský","Rakovník","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",1035,13673,7.57
"Středočeský","Říčany","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",593,20197,2.94
"Středočeský","Sedlčany","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",226,5722,3.95
"Středočeský","Slaný","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",607,9659,6.28
"Středočeský","Vlašim","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",404,7147,5.65
"Středočeský","Votice","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","ČSNS+KSČM+ČSSD","koalice",169,3174,5.32
"Zlínský","Bystřice pod Hostýnem","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",244,4089,5.97
"Zlínský","Holešov","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",446,5722,7.79
"Zlínský","Kroměříž","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",1519,18367,8.27
"Zlínský","Luhačovice","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",241,5303,4.54
"Zlínský","Otrokovice","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",468,8319,5.63
"Zlínský","Rožnov pod Radhoštěm","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",322,8633,3.73
"Zlínský","Uherské Hradiště","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",1540,24518,6.28
"Zlínský","Uherský Brod","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",698,13102,5.33
"Zlínský","Valašské Klobouky","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",254,5920,4.29
"Zlínský","Valašské Meziříčí","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",495,10761,4.6
"Zlínský","Vizovice","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",225,4598,4.89
"Zlínský","Vsetín","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",1005,16315,6.16
"Zlínský","Zlín","STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","ČSNS+KSČM+ČSSD","koalice",1286,29612,4.34
"Pardubický","Česká Třebová","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",276,4933,5.59
"Pardubický","Hlinsko","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",347,6387,5.43
"Pardubický","Holice","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",235,4632,5.07
"Pardubický","Chrudim","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",1428,22307,6.4
"Pardubický","Králíky","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",186,2068,8.99
"Pardubický","Lanškroun","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",372,5834,6.38
"Pardubický","Litomyšl","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",339,8056,4.21
"Pardubický","Moravská Třebová","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",656,6258,10.48
"Pardubický","Pardubice","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",1692,32777,5.16
"Pardubický","Polička","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",248,5333,4.65
"Pardubický","Přelouč","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",529,6777,7.81
"Pardubický","Svitavy","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",631,7113,8.87
"Pardubický","Ústí nad Orlicí","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",443,7081,6.26
"Pardubický","Vysoké Mýto","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",516,8868,5.82
"Pardubický","Žamberk","STAČILO! (KSČM, ČSNS, ČSSD)","ČSNS+KSČM+ČSSD","koalice",417,8999,4.63
"Plzeňský","Blovice","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",187,3514,5.32
"Plzeňský","Domažlice","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",739,9747,7.58
"Plzeňský","Horažďovice","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",203,3124,6.5
"Plzeňský","Horšovský Týn","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",267,3348,7.97
"Plzeňský","Klatovy","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",962,12494,7.7
"Plzeňský","Kralovice","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",408,6254,6.52
"Plzeňský","Nepomuk","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",234,3149,7.43
"Plzeňský","Nýřany","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",850,13987,6.08
"Plzeňský","Plzeň","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",2462,46603,5.28
"Plzeňský","Přeštice","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",422,6063,6.96
"Plzeňský","Rokycany","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",997,12664,7.87
"Plzeňský","Stod","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",330,5288,6.24
"Plzeňský","Stříbro","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",318,3881,8.19
"Plzeňský","Sušice","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",433,6204,6.98
"Plzeňský","Tachov","STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","ČSNS+KSČM+SD-SN","koalice",790,7375,10.71
"Ústecký","Bílina","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",441,3604,12.24
"Ústecký","Děčín","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",1148,18150,6.33
"Ústecký","Chomutov","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",1739,15030,11.57
"Ústecký","Kadaň","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",618,7861,7.86
"Ústecký","Litoměřice","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",1201,14526,8.27
"Ústecký","Litvínov","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",529,7702,6.87
"Ústecký","Louny","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",1020,10474,9.74
"Ústecký","Lovosice","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",502,6873,7.3
"Ústecký","Most","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",1023,13966,7.32
"Ústecký","Podbořany","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",389,3726,10.44
"Ústecký","Roudnice nad Labem","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",603,8195,7.36
"Ústecký","Rumburk","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",440,6887,6.39
"Ústecký","Teplice","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",1642,22582,7.27
"Ústecký","Ústí nad Labem","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",2034,26876,7.57
"Ústecký","Varnsdorf","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",253,4215,6
"Ústecký","Žatec","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","ČSNS+SOCDE+KSČM","koalice",470,6267,7.5
"Jihočeský","Blatná","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",208,3774,5.51
"Jihočeský","České Budějovice","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",2252,50390,4.47
"Jihočeský","Český Krumlov","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",579,10721,5.4
"Jihočeský","Dačice","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",448,5474,8.18
"Jihočeský","Jindřichův Hradec","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",824,13241,6.22
"Jihočeský","Kaplice","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",304,4795,6.34
"Jihočeský","Milevsko","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",303,5389,5.62
"Jihočeský","Písek","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",865,14460,5.98
"Jihočeský","Prachatice","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",455,9004,5.05
"Jihočeský","Soběslav","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",459,6781,6.77
"Jihočeský","Strakonice","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",705,12114,5.82
"Jihočeský","Tábor","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",1519,23228,6.54
"Jihočeský","Trhové Sviny","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",361,5939,6.08
"Jihočeský","Třeboň","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",359,6902,5.2
"Jihočeský","Týn nad Vltavou","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",224,4048,5.53
"Jihočeský","Vimperk","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",271,4368,6.2
"Jihočeský","Vodňany","STAČILO!, koalice KSČM, ČSSD, ČSNS, SD-SN","ČSNSKSČMSDČSSD","koalice",111,3279,3.39
"Ústecký","Bílina","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",28,3604,0.78
"Ústecký","Děčín","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",67,18150,0.37
"Ústecký","Chomutov","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",102,15030,0.68
"Ústecký","Kadaň","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",24,7861,0.31
"Ústecký","Litoměřice","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",107,14526,0.74
"Ústecký","Litvínov","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",31,7702,0.4
"Ústecký","Louny","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",86,10474,0.82
"Ústecký","Lovosice","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",35,6873,0.51
"Ústecký","Most","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",59,13966,0.42
"Ústecký","Podbořany","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",18,3726,0.48
"Ústecký","Roudnice nad Labem","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",73,8195,0.89
"Ústecký","Rumburk","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",21,6887,0.3
"Ústecký","Teplice","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",154,22582,0.68
"Ústecký","Ústí nad Labem","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",90,26876,0.33
"Ústecký","Varnsdorf","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",26,4215,0.62
"Ústecký","Žatec","ČSSD – ČISTÝ KRAJ","ČSSD+ČiKR","koalice",32,6267,0.51
"Královéhradecký","Broumov","ČSSD","ČSSD+DOMOV","koalice",13,3697,0.35
"Královéhradecký","Dobruška","ČSSD","ČSSD+DOMOV","koalice",20,5861,0.34
"Královéhradecký","Dvůr Králové nad Labem","ČSSD","ČSSD+DOMOV","koalice",27,6537,0.41
"Královéhradecký","Hořice","ČSSD","ČSSD+DOMOV","koalice",26,5089,0.51
"Královéhradecký","Hradec Králové","ČSSD","ČSSD+DOMOV","koalice",233,40522,0.57
"Královéhradecký","Jaroměř","ČSSD","ČSSD+DOMOV","koalice",30,4990,0.6
"Královéhradecký","Jičín","ČSSD","ČSSD+DOMOV","koalice",126,12934,0.97
"Královéhradecký","Kostelec nad Orlicí","ČSSD","ČSSD+DOMOV","koalice",38,6264,0.61
"Královéhradecký","Náchod","ČSSD","ČSSD+DOMOV","koalice",61,17212,0.35
"Královéhradecký","Nová Paka","ČSSD","ČSSD+DOMOV","koalice",17,3781,0.45
"Královéhradecký","Nové Město nad Metují","ČSSD","ČSSD+DOMOV","koalice",12,4399,0.27
"Královéhradecký","Nový Bydžov","ČSSD","ČSSD+DOMOV","koalice",34,4609,0.74
"Královéhradecký","Rychnov nad Kněžnou","ČSSD","ČSSD+DOMOV","koalice",46,8775,0.52
"Královéhradecký","Trutnov","ČSSD","ČSSD+DOMOV","koalice",109,15277,0.71
"Královéhradecký","Vrchlabí","ČSSD","ČSSD+DOMOV","koalice",38,6473,0.59
"Moravskoslezský","Bílovec","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",36,6541,0.55
"Moravskoslezský","Bohumín","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",89,7426,1.2
"Moravskoslezský","Bruntál","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",73,8174,0.89
"Moravskoslezský","Český Těšín","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",45,5560,0.81
"Moravskoslezský","Frenštát pod Radhoštěm","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",17,4916,0.35
"Moravskoslezský","Frýdek-Místek","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",229,28795,0.8
"Moravskoslezský","Frýdlant nad Ostravicí","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",30,7081,0.42
"Moravskoslezský","Havířov","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",125,19353,0.65
"Moravskoslezský","Hlučín","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",48,11357,0.42
"Moravskoslezský","Jablunkov","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",86,4680,1.84
"Moravskoslezský","Karviná","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",102,13034,0.78
"Moravskoslezský","Kopřivnice","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",45,10615,0.42
"Moravskoslezský","Kravaře","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",25,5794,0.43
"Moravskoslezský","Krnov","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",39,6551,0.6
"Moravskoslezský","Nový Jičín","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",40,12526,0.32
"Moravskoslezský","Odry","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",9,3976,0.23
"Moravskoslezský","Opava","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",124,26368,0.47
"Moravskoslezský","Orlová","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",92,7708,1.19
"Moravskoslezský","Ostrava","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",341,74563,0.46
"Moravskoslezský","Rýmařov","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",30,3601,0.83
"Moravskoslezský","Třinec","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",130,10873,1.2
"Moravskoslezský","Vítkov","ČSSD A NEZÁVISLÉ OSOBNOSTI","ČSSD+DOMOV","koalice",19,3392,0.56
"Karlovarský","Aš","Komunistická strana Čech a Moravy","KSČM","koalice",102,3403,3
"Karlovarský","Cheb","Komunistická strana Čech a Moravy","KSČM","koalice",405,10053,4.03
"Karlovarský","Karlovy Vary","Komunistická strana Čech a Moravy","KSČM","koalice",461,21791,2.12
"Karlovarský","Kraslice","Komunistická strana Čech a Moravy","KSČM","koalice",82,3076,2.67
"Karlovarský","Mariánské Lázně","Komunistická strana Čech a Moravy","KSČM","koalice",167,5492,3.04
"Karlovarský","Ostrov","Komunistická strana Čech a Moravy","KSČM","koalice",157,6684,2.35
"Karlovarský","Sokolov","Komunistická strana Čech a Moravy","KSČM","koalice",412,16499,2.5
"Jihomoravský","Blansko","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",1168,15996,7.3
"Jihomoravský","Boskovice","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",986,14994,6.58
"Jihomoravský","Brno","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",4766,103518,4.6
"Jihomoravský","Břeclav","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",1160,15174,7.64
"Jihomoravský","Bučovice","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",445,4474,9.95
"Jihomoravský","Hodonín","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",1020,14897,6.85
"Jihomoravský","Hustopeče","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",621,10479,5.93
"Jihomoravský","Ivančice","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",654,6380,10.25
"Jihomoravský","Kuřim","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",334,7224,4.62
"Jihomoravský","Kyjov","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",1041,15491,6.72
"Jihomoravský","Mikulov","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",422,4929,8.56
"Jihomoravský","Moravský Krumlov","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",475,6472,7.34
"Jihomoravský","Pohořelice","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",255,4275,5.96
"Jihomoravský","Rosice","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",532,7165,7.42
"Jihomoravský","Slavkov u Brna","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",402,6866,5.85
"Jihomoravský","Šlapanice","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",957,22246,4.3
"Jihomoravský","Tišnov","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",583,9650,6.04
"Jihomoravský","Veselí nad Moravou","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",648,10005,6.48
"Jihomoravský","Vyškov","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",1072,14083,7.61
"Jihomoravský","Znojmo","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",1822,24160,7.54
"Jihomoravský","Židlochovice","STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV","NSKSČMSDČSSDDOM","koalice",453,9874,4.59
"Karlovarský","Aš","Sociální demokracie","SOCDEM","koalice",38,3403,1.12
"Středočeský","Benešov","Sociální demokracie","SOCDEM","koalice",174,16452,1.06
"Středočeský","Beroun","Sociální demokracie","SOCDEM","koalice",116,16332,0.71
"Moravskoslezský","Bílovec","Sociální demokracie","SOCDEM","koalice",96,6541,1.47
"Jihomoravský","Blansko","Sociální demokracie","SOCDEM","koalice",506,15996,3.16
"Jihočeský","Blatná","Sociální demokracie","SOCDEM","koalice",283,3774,7.5
"Plzeňský","Blovice","Sociální demokracie","SOCDEM","koalice",138,3514,3.93
