"KRAJ","ORP","STRANA","ZKRATKA","BLOK","HLASYABS","HLASYOBEC","HLASYPROC"
"Olomoucký","Litovel","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",41,6126,0.67
"Ústecký","Litvínov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",36,7702,0.47
"Ústecký","Louny","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",74,10474,0.71
"Ústecký","Lovosice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",50,6873,0.73
"Zlínský","Luhačovice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",17,5303,0.32
"Středočeský","Lysá nad Labem","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",30,6277,0.48
"Karlovarský","Mariánské Lázně","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,5492,0.38
"Středočeský","Mělník","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",47,10216,0.46
"Jihomoravský","Mikulov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",10,4929,0.2
"Jihočeský","Milevsko","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",25,5389,0.46
"Středočeský","Mladá Boleslav","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",142,25851,0.55
"Středočeský","Mnichovo Hradiště","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",17,5026,0.34
"Olomoucký","Mohelnice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",17,4563,0.37
"Pardubický","Moravská Třebová","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",23,6258,0.37
"Vysočina","Moravské Budějovice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",27,6498,0.42
"Jihomoravský","Moravský Krumlov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",14,6472,0.22
"Ústecký","Most","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",54,13966,0.39
"Královéhradecký","Náchod","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",106,17212,0.62
"Vysočina","Náměšť nad Oslavou","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",13,3649,0.36
"Plzeňský","Nepomuk","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",35,3149,1.11
"Středočeský","Neratovice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",35,6893,0.51
"Královéhradecký","Nová Paka","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",12,3781,0.32
"Vysočina","Nové Město na Moravě","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",26,5694,0.46
"Královéhradecký","Nové Město nad Metují","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",29,4399,0.66
"Liberecký","Nový Bor","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,6598,0.32
"Královéhradecký","Nový Bydžov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",16,4609,0.35
"Moravskoslezský","Nový Jičín","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",61,12526,0.49
"Středočeský","Nymburk","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",67,10727,0.62
"Plzeňský","Nýřany","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",111,13987,0.79
